OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0023773,01-01-2022,CUST09815,Harish Nair,P012,Shampoo,Beauty,Dove,3,366.98,0.25,41.29,181.31,1048.3,Credit Card,Delivered,Ahmedabad,Gujarat,India,SELLER0242
ORD0031065,01-01-2022,CUST01063,Rahul Patel,P002,Bluetooth Speaker,Electronics,JBL,3,3327.12,0.05,1706.81,227.78,11416.88,Cash on Delivery,Delivered,Dehradun,Uttarakhand,India,SELLER0327
ORD0039626,01-01-2022,CUST02476,Rahul Reddy,P014,Study Table,Furniture,Nilkamal,2,4520.76,0.2,867.99,55.55,8156.76,Cash on Delivery,Pending,Kolkata,West Bengal,India,SELLER0333
ORD0028124,01-01-2022,CUST04815,Aishwarya Joshi,P018,Formal Shirt,Clothing,Van Heusen,2,1911.55,0.15,584.93,83.32,3917.88,UPI,Delivered,Bengaluru,Karnataka,India,SELLER0323
ORD0023277,01-01-2022,CUST04671,Mohammed Sharma,P003,Smartphone,Electronics,Samsung,3,17161.98,0,6178.31,131.89,57796.14,UPI,Delivered,Mangaluru,Karnataka,India,SELLER0309
ORD0019457,01-01-2022,CUST04060,Nisha Patel,P008,Backpack,Bags,Skybags,1,2010.58,0.1,325.71,94.82,2230.05,Debit Card,Delivered,Dehradun,Uttarakhand,India,SELLER0324
ORD0017879,01-01-2022,CUST02278,Karthik Joshi,P012,Shampoo,Beauty,Dove,2,407.89,0,146.84,141.48,1104.1,UPI,Delivered,Indore,Madhya Pradesh,India,SELLER0192
ORD0006540,01-01-2022,CUST08115,Keerthi Iyer,P010,Mixer Grinder,Home & Kitchen,Philips,3,3155.33,0.05,1079.12,130.76,10202.57,UPI,Delivered,Tiruchirappalli,Tamil Nadu,India,SELLER0022
ORD0015294,01-01-2022,CUST08378,Meena Gupta,P015,LED TV,Electronics,Sony,3,39758.17,0.2,17175.53,146.45,112741.59,Net Banking,Shipped,Lucknow,Uttar Pradesh,India,SELLER0349
ORD0043159,01-01-2022,CUST05382,Divya Das,P014,Study Table,Furniture,Nilkamal,2,5400.2,0,1944.07,121.48,12865.95,Cash on Delivery,Delivered,Ranchi,Jharkhand,India,SELLER0073
